year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1901;Emil Adolf ;von Behring;M;1854;1917;Germany;za jeho práce týkajúce sa liečby sérom, obzvlášť za jeho podávanie pri diftérii, ktoré otvorilo novú cestu v oblasti lekárskej vedy, a tým vložilo do rúk lekárov víťaznú zbraň voči chorobám a smrti;for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths
1902;Sir Ronald;Ross;M;1857;1932;United Kingdom;za jeho práce týkajúce sa malárie, ktorými ukázal, ako sa dostáva do organizmu, a tým položil základ pre úspešný výskum tejto choroby a metód boja proti nej;for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it
1903;Niels Ryberg;Finsen;M;1860;1904;Denmark;ako uznanie jeho príspevku k liečbe chorôb, obzvlášť lupus vulgaris, koncentrovaným svetelným žiarením, čím otvoril novú cestu lekárskej vedy;for his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science
1904;Ivan Petrovič;Pavlov;M;1849;1936;Russia;ako uznanie jeho prác týkajúcich sa fyziológie trávenia, prostredníctvom ktorých sa zmenili a rozšírili vedomosti týkajúce sa vitálnych aspektov jedincov;in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged
1905;Robert;Koch;M;1843;1910;Germany;za jeho výskumy a objavy vo vzťahu k tuberkulóze;for his investigations and discoveries in relation to tuberculosis
1906;Camillo;Golgi;M;1843;1926;Italy;ako uznanie ich prác týkajúcich sa štruktúry nervovej sústavy;in recognition of their work on the structure of the nervous system
1906;Santiago ;Ramón y Cajal;M;1852;1934;Spain;ako uznanie ich prác týkajúcich sa štruktúry nervovej sústavy;in recognition of their work on the structure of the nervous system
1907;Charles Louis Alphonse;Laveran;M;1845;1922;France;ako uznanie jeho prác týkajúcich sa úlohy prvokov pri rozvoji chorôb;in recognition of his work on the role played by protozoa in causing diseases
1908;Ilia Iľjič;Mečnikov;M;1845;1916;Russia;ako uznanie ich prác týkajúcich sa úlohy imunity;in recognition of their work on immunity
1908;Paul;Ehrlich;M;1854;1915;Germany;ako uznanie ich prác týkajúcich sa úlohy imunity;in recognition of their work on immunity
1909;Emil Theodor;Kocher;M;1841;1917;Switzerland;za jeho práce týkajúce sa fyziológie, patológie a chirurgie štítnej žľazy;for his work on the physiology, pathology and surgery of the thyroid gland
1910;Albrecht;Kossel;M;1853;1927;Germany;ako uznanie jeho príspevku k našim vedomostiam z chémie bunky, najmä prostredníctvom jeho prác týkajúcich sa bielkovín vrátane nukleových substancií;in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances
1911;Allvar;Gullstrand;M;1862;1930;Sweden;za výskum spôsobu tvorby obrazu šošovkou oka;for his work on the dioptrics of the eye
1912;Alexis;Carrel;M;1873;1944;France;za prácu týkajúcu sa spôsobu zošívania ciev a transplantácií;for his work on vascular suture and the transplantation of blood vessels and organs
1913;Charles Robert;Richet;M;1850;1935;France;za objav anafylaxie;for his work on anaphylaxis
1914;Robert;Bárány;M;1876;1936;Austria,Hungary;za výskum vestibulárneho aparátu vnútorného ucha;for his work on the physiology and pathology of the vestibular apparatus
1919;Jules;Bordet;M;1870;1961;Belgium;za objav komplementu ako súčasti imunitného systému;for his discoveries relating to immunity
1920;Schack August Steenberg;Krogh;M;1874;1949;Denmark;za dôkaz, že výmena plynov v pľúcach sa uskutočňuje priamou difúziou;for his discovery of the capillary motor regulating mechanism
1922;Archibald Vivian;Hill;M;1886;1977;United Kingdom;za výskum produkcie tepla vo svaloch;for his discovery relating to the production of heat in the muscle
1922;Otto Fritz;Meyerhof;M;1884;1951;Germany;za výskum vzťahu medzi spotrebou kyslíku a metabolizmom kyseliny mliečnej vo svaloch;for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
1923;Sir Frederick Grant;Banting;M;1891;1941;Canada;za objav inzulínu;for the discovery of insulin
1923;John James Richard;Macleod;M;1876;1935;United Kingdom;za objav inzulínu;for the discovery of insulin
1924;Willem;Einthoven;M;1860;1927;Netherlands;za objav mechanizmu tvorby elektrokardiogramu;for the discovery of the mechanism of the electrocardiogram
1926;Johannes;Fibiger;M;1867;1928;Denmark;za objav Spiroptera carcinoma.;for his discovery of the Spiroptera carcinoma
1927;Julius;Wagner-Jauregg;M;1857;1940;Austria;za liečbu progresívnej paralýzy infekciou malárie;for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
1928;Charles Jules Henri;Nicolle;M;1866;1936;France;za výskum škvrnitého týfusu;for his work on typhus
1929;Christiaan;Eijkman;M;1868;1930;Netherlands;za objav antineuritického vitamínu;for his discovery of the antineuritic vitamin
1929;Sir Frederick Gowland;Hopkins;M;1861;1947;United Kingdom;za objav (rast stimulujúcich) vitamínov;for his discovery of the growth-stimulating vitamins
1930;Karl;Landsteiner;M;1868;1943;Austria;za objav krvných skupín;for his discovery of human blood groups
1931;Otto Heinrich;Warburg;M;1883;1970;Germany;za výskum úlohy cytochrómov v bunkovom dýchaní;for his discovery of the nature and mode of action of the respiratory enzyme
1932;Sir Charles Scott;Sherrington;M;1857;1952;United Kingdom;za výskum funkcie neurónov vrátane zistenia, že silnejšie stimuly vedú k vyššej frekvencii nervových impulzov;for their discoveries regarding the functions of neurons
1932;Edgar Douglas;Adrian;M;1889;1977;United Kingdom;za výskum funkcie neurónov vrátane zistenia, že silnejšie stimuly vedú k vyššej frekvencii nervových impulzov;for their discoveries regarding the functions of neurons
1933;Thomas Hunt;Morgan;M;1866;1945;United States;za objav úlohy chromozómov v dedičnosti;for his discoveries concerning the role played by the chromosome in heredity
1934;George Hoyt;Whipple;M;1878;1976;United States;za objav liečby pečeňou pri anémii;for their discoveries concerning liver therapy in cases of anaemia
1934;George Richards;Minot;M;1885;1950;United States;za objav liečby pečeňou pri anémii;for their discoveries concerning liver therapy in cases of anaemia
1934;William Parry;Murphy;M;1892;1987;United States;za objav liečby pečeňou pri anémii;for their discoveries concerning liver therapy in cases of anaemia
1935;Hans;Spemann;M;1869;1941;Germany;za objav organizačných centier pri ranom vývoji organizmov;for his discovery of the organizer effect in embryonic development
1936;Sir Henry Hallett;Dale;M;1875;1968;United Kingdom;za prácu týkajúcu sa transmisie nervových impulzov cestou neurotransmiterov;for their discoveries relating to chemical transmission of nerve impulses
1936;Otto;Loewi;M;1873;1961;Austria;za prácu týkajúcu sa transmisie nervových impulzov cestou neurotransmiterov;for their discoveries relating to chemical transmission of nerve impulses
1937;Albert ;Szent-Györgyi von Nagyrapolt;M;1893;1986;Hungary;za popísanie vitamínu C a objav, že kyslík reaguje s vodíkom pri bunkovom dýchaní;for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid
1938;Corneille Jean François;Heymans;M;1892;1968;Belgium;za objasnenie mechanizmu, ktorým organizmus meria krvný tlak a obsah kyslíka v krvi a prenáša tento signál do mozgu;for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
1939;Gerhard;Domagk;M;1895;1964;Germany;za objav sulfónamidu Prontosilu, prvého lieku účinného proti bakteriálnym infekciám;for the discovery of the antibacterial effects of prontosil
1943;Henrik Carl Peter;Dam;M;1895;1976;Denmark;za objav vitamínu vitamínu K a jeho chemickú štruktúru;for his discovery of vitamin K
1943;Edward Adelbert;Doisy;M;1893;1986;United States;za objav vitamínu vitamínu K a jeho chemickú štruktúru;for his discovery of the chemical nature of vitamin K
1944;Joseph;Erlanger;M;1874;1965;United States;za objav rôznych typov nervových vlákien;for their discoveries relating to the highly differentiated functions of single nerve fibres
1944;Herbert Spencer;Gasser;M;1888;1963;United States;za objav rôznych typov nervových vlákien;for their discoveries relating to the highly differentiated functions of single nerve fibres
1945;Sir Alexander;Fleming;M;1881;1955;United Kingdom;za objav penicilínu a jeho vlastností pri liečbe infekčných chorôb;for the discovery of penicillin and its curative effect in various infectious diseases
1945;Sir Ernst Boris;Chain;M;1906;1979;United Kingdom;za objav penicilínu a jeho vlastností pri liečbe infekčných chorôb;for the discovery of penicillin and its curative effect in various infectious diseases
1945;Sir Howard Walter;Florey;M;1898;1968;Australia;za objav penicilínu a jeho vlastností pri liečbe infekčných chorôb;for the discovery of penicillin and its curative effect in various infectious diseases
1946;Hermann Joseph;Muller;M;1890;1967;United States;za poznatok, že mutácie môžu byť spôsobené röntgenovými lúčmi;for the discovery of the production of mutations by means of X-ray irradiation
1947;Carl Ferdinand;Cori;M;1896;1984;United States;za objav mechanizmu, ktorým sa glykogén v tele mení na glukózu;for their discovery of the course of the catalytic conversion of glycogen
1947;Gerty Theresa ;Cori (rodená Radnitz);F;1896;1957;United States;za objav mechanizmu, ktorým sa glykogén v tele mení na glukózu;for their discovery of the course of the catalytic conversion of glycogen
1947;Bernardo Alberto;Houssay;M;1887;1971;Argentina;za popísania účinkov hypofyzárnych hormónov na metabolizmus cukrov;for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar
1948;Paul Hermann;Müller;M;1899;1965;Switzerland;za objav insekticídu DDT;for his discovery of the high efficiency of DDT as a contact poison against several arthropods
1949;Walter Rudolf;Hess;M;1881;1973;Switzerland;a mapovanie rozličných funkcií stredného mozgu;for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs
1949;Antonio Caetano De Abreu Freire Egas;Moniz;M;1874;1955;Portugal;za objav terapeutického účinku lobotómie;for his discovery of the therapeutic value of leucotomy (lobotomy) in certain psychoses
1950;Philip Showalter;Hench;M;1896;1965;United States;za objav hormónov kôry nadobličiek, opis ich štruktúry a funkcie;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects
1950;Edward Calvin;Kendall;M;1886;1972;United States;za objav hormónov kôry nadobličiek, opis ich štruktúry a funkcie;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects
1950;Tadeus;Reichstein;M;1897;1996;Switzerland;za objav hormónov kôry nadobličiek, opis ich štruktúry a funkcie;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects
1951;Max;Theiler;M;1899;1972;South Africa,United States;za vývoj vakcíny proti žltej zimnici;for his discoveries concerning yellow fever and how to combat it
1952;Selman Abraham;Waksman;M;1888;1973;United States;za objav prvého antibiotika účinného proti tuberkulóze – streptomycínu;for his discovery of streptomycin, the first antibiotic effective against tuberculosis
1953;Hans Adolf;Krebs;M;1900;1981;United Kingdom;za objav citrátového (Krebsovho) cyklu pri bunkovom dýchaní;for his discovery of the citric acid cycle
1953;Fritz Albert;Lipmann;M;1899;1986;United States;za objav a výskum koenzýmu A;for his discovery of co-enzyme A and its importance for intermediary metabolism
1954;John Franklin;Enders;M;1897;1985;United States;za vývoj metódy kultivácie vírusov poliomyelitídy v skúmavke;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
1954;Frederick Chapman;Robbins;M;1916;2003;United States;za vývoj metódy kultivácie vírusov poliomyelitídy v skúmavke;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
1954;Thomas Huckle;Weller;M;1915;2008;United States;za vývoj metódy kultivácie vírusov poliomyelitídy v skúmavke;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
1955;Axel Hugo Theodor;Theorell;M;1903;1982;Sweden;za výskum enzýmov a ich účinkov, najmä oxidačných enzýmov;for his discoveries concerning the nature and mode of action of oxidation enzymes
1956;André Frédéric;Cournand;M;1895;1988;United States;za vývoj metódy katetrizácie srdca a štúdium rozličných srdcových chorôb;for their discoveries concerning heart catheterization and pathological changes in the circulatory system
1956;Werner;Forssmann;M;1904;1979;West Germany;za vývoj metódy katetrizácie srdca a štúdium rozličných srdcových chorôb;for their discoveries concerning heart catheterization and pathological changes in the circulatory system
1956;Dickinson W.;Richards;M;1895;1973;United States;za vývoj metódy katetrizácie srdca a štúdium rozličných srdcových chorôb;for their discoveries concerning heart catheterization and pathological changes in the circulatory system
1957;Daniel;Bovet;M;1907;1992;Italy;za objav syntetických liekov ako antihistaminiká, ktoré blokujú účinok biologických amínov;for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles
1958;George Wells;Beadle;M;1903;1989;United States;za poznatok, že gény riadia jednotlivé metabolické cesty;for their discovery that genes act by regulating definite chemical events
1958;Edward Lawrie;Tatum;M;1909;1975;United States;za poznatok, že gény riadia jednotlivé metabolické cesty;for their discovery that genes act by regulating definite chemical events
1958;Joshua;Lederberg;M;1925;2008;United States;za výskum genetickej rekombinácie a organizácie genetického materiálu baktérií;for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria
1959;Arthur;Kornberg;M;1918;2007;United States;za syntézu nukleových kyselín – RNA a DNA;for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
1959;Severo;Ochoa;M;1905;1993;United States;za syntézu nukleových kyselín – RNA a DNA;for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
1960;Sir Frank Macfarlane;Burnet;M;1899;1985;Australia;za poznatok, že imunitný systém fétu sa naučí ako rozlíšiť medzi vlastným a nevlastným;for discovery of acquired immunological tolerance
1960;Sir Peter Brian;Medawar;M;1915;1987;United Kingdom;za poznatok, že imunitný systém fétu sa naučí ako rozlíšiť medzi vlastným a nevlastným;for discovery of acquired immunological tolerance
1961;Georg ;von Békésy;M;1899;1972;Hungary;za objasnenie úlohy slimáka v uchu;for his discoveries of the physical mechanism of stimulation within the cochlea
1962;Francis Harry Compton;Crick;M;1916;2004;United Kingdom;za objav molekulovej štruktúry DNA a ich významu pri prenose informácii;for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
1962;James Dewey;Watson;M;1928;;United States;za objav molekulovej štruktúry DNA a ich významu pri prenose informácii;for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
1962;Maurice Hugh Frederick;Wilkins;M;1916;2004;New Zealand,United Kingdom;za objav molekulovej štruktúry DNA a ich významu pri prenose informácii;for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
1963;Sir John Carew;Eccles;M;1903;1997;Australia;za opísanie prevodu elektrických impulzov v nervoch;for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
1963;Sir Alan Lloyd;Hodgkin;M;1914;1998;United Kingdom;za opísanie prevodu elektrických impulzov v nervoch;for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
1963;Sir Andrew Fielding;Huxley;M;1917;2012;United Kingdom;za opísanie prevodu elektrických impulzov v nervoch;for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
1964;Konrad;Bloch;M;1912;2000;United States;za výskum týkajúci sa metabolizmu cholesterolu a mastných kyselín;for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
1964;Feodor;Lynen;M;1911;1979;West Germany;za výskum týkajúci sa metabolizmu cholesterolu a mastných kyselín;for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
1965;François;Jacob;M;1920;2013;France;za objav messenger RNA, ribozómov a génov riadiacich expresiu iných génov;for their discoveries concerning genetic control of enzyme and virus synthesis
1965;André;Lwoff;M;1902;1994;France;za objav messenger RNA, ribozómov a génov riadiacich expresiu iných génov;for their discoveries concerning genetic control of enzyme and virus synthesis
1965;Jacques;Monod;M;1910;1976;France;za objav messenger RNA, ribozómov a génov riadiacich expresiu iných génov;for their discoveries concerning genetic control of enzyme and virus synthesis
1966;Peyton;Rous;M;1879;1970;United States;za objav vírusov spôsobujúcich nádory;for his discovery of tumour-inducing viruses
1966;Charles Brenton;Huggins;M;1901;1997;United States;za objav hormonálnej liečby rakoviny prostaty;for his discoveries concerning hormonal treatment of prostatic cancer
1967;Ragnar;Granit;M;1900;1991;Sweden,Finland;za popis rôznych druhov buniek v oku citlivých na svetlo a objasnenie mechanizmu interakcie svetla s týmito bunkami;for their discoveries concerning the primary physiological and chemical visual processes in the eye
1967;Haldan Keffer;Hartline;M;1903;1983;United States;za popis rôznych druhov buniek v oku citlivých na svetlo a objasnenie mechanizmu interakcie svetla s týmito bunkami;for their discoveries concerning the primary physiological and chemical visual processes in the eye
1967;George;Wald;M;1906;1997;United States;za popis rôznych druhov buniek v oku citlivých na svetlo a objasnenie mechanizmu interakcie svetla s týmito bunkami;for their discoveries concerning the primary physiological and chemical visual processes in the eye
1968;Robert W.;Holley;M;1922;1993;United States;za popis genetického kódu a objasnenie mechanizmu, ktorým riadi syntézu proteínov;for their interpretation of the genetic code and its function in protein synthesis
1968;Har Gobind;Khorana;M;1922;2011;United States;za popis genetického kódu a objasnenie mechanizmu, ktorým riadi syntézu proteínov;for their interpretation of the genetic code and its function in protein synthesis
1968;Marshall W.;Nirenberg;M;1927;2010;United States;za popis genetického kódu a objasnenie mechanizmu, ktorým riadi syntézu proteínov;for their interpretation of the genetic code and its function in protein synthesis
1969;Max;Delbrück;M;1906;1981;United States;za výskum v oblasti mechanizmu replikácie a genetiky vírusov;for their discoveries concerning the replication mechanism and the genetic structure of viruses
1969;Alfred D.;Hershey;M;1908;1997;United States;za výskum v oblasti mechanizmu replikácie a genetiky vírusov;for their discoveries concerning the replication mechanism and the genetic structure of viruses
1969;Salvador E.;Luria;M;1912;1991;United States;za výskum v oblasti mechanizmu replikácie a genetiky vírusov;for their discoveries concerning the replication mechanism and the genetic structure of viruses
1970;Julius;Axelrod;M;1912;2004;United States;za práce týkajúce sa neurotransmiterov;for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation
1970;Ulf ;von Euler;M;1905;1983;Sweden;za práce týkajúce sa neurotransmiterov;for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation
1970;Sir Bernard;Katz;M;1911;2003;United Kingdom;za práce týkajúce sa neurotransmiterov;for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation
1971;Earl W. ;Sutherland;M;1915;1974;United States;za objav účinku hormónov, obzvlášť epinefrínu, ako druhotných poslov (second messengers);for his discoveries concerning the mechanisms of the action of hormones
1972;Gerald M.;Edelman;M;1929;2014;United States;za objasnenie chemickej štruktúry protilátok;for their discoveries concerning the chemical structure of antibodies
1972;Rodney R.;Porter;M;1917;1985;United Kingdom;za objasnenie chemickej štruktúry protilátok;for their discoveries concerning the chemical structure of antibodies
1973;Karl ;von Frisch;M;1886;1982;West Germany;za štúdium sociálneho správania zvierat, najmä vysvetlenie tanečného jazyka včiel a spôsobu, akým sa mláďatá vtákov fixujú na svoju matku;for their discoveries concerning organization and elicitation of individual and social behaviour patterns
1973;Konrad;Lorenz;M;1903;1989;Austria;za štúdium sociálneho správania zvierat, najmä vysvetlenie tanečného jazyka včiel a spôsobu, akým sa mláďatá vtákov fixujú na svoju matku;for their discoveries concerning organization and elicitation of individual and social behaviour patterns
1973;Nikolaas;Tinbergen;M;1907;1988;Netherlands;za štúdium sociálneho správania zvierat, najmä vysvetlenie tanečného jazyka včiel a spôsobu, akým sa mláďatá vtákov fixujú na svoju matku;for their discoveries concerning organization and elicitation of individual and social behaviour patterns
1974;Albert;Claude;M;1899;1983;United States;za popísanie štruktúry a činnosti organel v biologických bunkách;for their discoveries concerning the structural and functional organization of the cell
1974;Christian ;de Duve;M;1917;2013;Belgium;za popísanie štruktúry a činnosti organel v biologických bunkách;for their discoveries concerning the structural and functional organization of the cell
1974;George E.;Palade;M;1912;2008;United States;za popísanie štruktúry a činnosti organel v biologických bunkách;for their discoveries concerning the structural and functional organization of the cell
1975;David;Baltimore;M;1938;;United States;za objasnenie mechanizmu, akým vírusy vyvolávajúce tumory pôsobia na genetický materiál bunky;for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
